channel_id,channel_name,subscribers,total_views,video_count,uploads_playlist_id
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,101000000,42985258257,668,UUOmHUn--16B90oW2L6FRR3A
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV (BTS),85800000,29196236546,3095,UULkAepWjdylmXSltofFvsYQ
UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,63400000,46439995925,660,UUqECaJ8Gagnn7YCbPEzWH6g
UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,59200000,38732240731,790,UU0C-w0YjGpqDXGB8IHb662A
UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,79300000,39818437679,283,UUIwFjwMjI0y7PDBVEO9-bkQ
